,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san quintin,30.4833,-115.95,75.06,29,74,7.72,MX,1644699245
1,ushuaia,-54.8,-68.3,47.86,53,40,42.57,AR,1644699205
2,rikitea,-23.1203,-134.9692,79.12,70,2,15.86,PF,1644699245
3,port hawkesbury,45.6169,-61.3485,49.95,87,75,12.66,CA,1644699246
4,new norfolk,-42.7826,147.0587,59.76,67,100,3.71,AU,1644699246
5,shingu,33.7333,135.9833,43.92,59,97,3.36,JP,1644699246
6,jinchang,38.4953,102.1739,23.56,70,99,7.76,CN,1644699247
7,vaini,-21.2,-175.2,82.56,83,20,9.22,TO,1644699247
8,hermanus,-34.4187,19.2345,68.81,83,100,1.3,ZA,1644699247
9,la rochelle,46.1667,-1.15,37.51,87,0,3.44,FR,1644699247
10,saskylakh,71.9167,114.0833,-0.9,74,64,11.03,RU,1644699248
11,mataura,-46.1927,168.8643,51.48,89,97,3.8,NZ,1644699248
12,yelizovo,53.1873,158.3805,0.1,77,75,4.47,RU,1644699248
13,kamenka,51.3223,42.7678,28.74,95,95,10.67,RU,1644699249
14,lalmohan,22.3384,90.7419,63.16,57,59,13.22,BD,1644699249
15,caravelas,-17.7125,-39.2481,79.02,79,100,5.37,BR,1644699249
16,malanje,-9.5402,16.341,66.04,86,87,2.95,AO,1644699250
17,ahipara,-35.1667,173.1667,68.09,76,84,22.1,NZ,1644699250
18,kapaa,22.0752,-159.319,77.11,70,40,9.22,US,1644699070
19,severo-kurilsk,50.6789,156.125,18.41,76,37,2.84,RU,1644699250
20,axim,4.8699,-2.2405,79.32,85,76,5.99,GH,1644699250
21,narsaq,60.9167,-46.05,28.18,98,100,2.68,GL,1644699251
22,albany,42.6001,-73.9662,44.37,58,57,3.0,US,1644699251
23,flin flon,54.7682,-101.865,-4.16,54,0,6.91,CA,1644699251
24,lorengau,-2.0226,147.2712,80.55,77,98,1.5,PG,1644699252
25,nikolskoye,59.7035,30.7861,33.87,96,100,12.48,RU,1644699252
26,fortuna,40.5982,-124.1573,71.85,69,0,8.05,US,1644699251
27,zhigansk,66.7697,123.3711,-34.02,100,79,4.09,RU,1644699252
28,san cristobal,7.7669,-72.225,77.18,39,98,5.53,VE,1644699252
29,norman wells,65.282,-126.8329,-16.56,69,75,4.61,CA,1644699253
30,lebu,-37.6167,-73.65,66.47,63,21,11.39,CL,1644699253
31,nelson bay,-32.7167,152.15,73.0,60,91,9.73,AU,1644699253
32,gigmoto,13.7796,124.39,76.57,90,99,10.85,PH,1644699254
33,cabo rojo,18.0866,-67.1457,82.09,72,57,1.99,PR,1644699254
34,lasa,46.6166,10.7002,31.46,48,30,1.52,IT,1644699254
35,hamamatsu,34.7,137.7333,40.01,76,77,1.99,JP,1644699255
36,gizo,-8.103,156.8419,81.25,73,77,2.71,SB,1644699255
37,hilo,19.7297,-155.09,79.25,70,0,4.0,US,1644699255
38,adrar,20.5022,-10.0711,66.36,20,65,9.13,MR,1644699255
39,mahibadhoo,3.7833,72.9667,80.62,74,100,2.44,MV,1644699256
40,nuuk,64.1835,-51.7216,10.87,85,100,3.67,GL,1644699256
41,barrow,71.2906,-156.7887,-29.18,100,100,8.05,US,1644699142
42,ust-ilimsk,58.0006,102.6619,-23.71,100,72,1.52,RU,1644699256
43,puerto ayora,-0.7393,-90.3518,85.96,85,98,5.01,EC,1644699257
44,bardiyah,31.7561,25.0865,55.8,66,0,7.11,LY,1644699257
45,bemidji,47.4736,-94.8803,4.17,34,100,6.91,US,1644699088
46,bredasdorp,-34.5322,20.0403,69.12,78,100,2.3,ZA,1644699317
47,upernavik,72.7868,-56.1549,-0.22,95,100,11.07,GL,1644699318
48,hobart,-42.8794,147.3294,60.12,75,75,11.5,AU,1644699203
49,tazovskiy,67.4667,78.7,-6.99,91,6,15.26,RU,1644699318
50,castro,-24.7911,-50.0119,73.26,67,57,3.91,BR,1644699318
51,bandarbeyla,9.4942,50.8122,75.96,69,100,13.31,SO,1644699319
52,busselton,-33.65,115.3333,56.08,78,0,11.39,AU,1644699319
53,matara,5.9485,80.5353,75.0,90,100,2.39,LK,1644699319
54,thompson,55.7435,-97.8558,-5.64,49,0,6.91,CA,1644699320
55,wellington,-41.2866,174.7756,61.77,98,75,42.57,NZ,1644699271
56,pisco,-13.7,-76.2167,78.85,57,0,16.11,PE,1644699320
57,yakeshi,49.2833,120.7333,-29.85,100,100,1.97,CN,1644699320
58,bengkulu,-3.8004,102.2655,75.31,84,93,4.7,ID,1644699145
59,kawalu,-7.3817,108.2082,72.75,92,100,1.72,ID,1644699321
60,phan thiet,10.9333,108.1,74.39,82,61,6.76,VN,1644699321
61,vardo,70.3705,31.1107,26.58,66,11,15.37,NO,1644699321
62,noyabrsk,63.1994,75.4507,-9.54,97,20,13.73,RU,1644699321
63,samarkand,39.6542,66.9597,36.82,93,100,4.61,UZ,1644699322
64,mahebourg,-20.4081,57.7,80.89,83,40,9.22,MU,1644699322
65,bluff,-46.6,168.3333,51.8,73,100,13.42,NZ,1644699322
66,kaitangata,-46.2817,169.8464,51.93,80,100,9.73,NZ,1644699323
67,kiunga,-6.1219,141.2906,72.3,92,80,0.87,PG,1644699323
68,faanui,-16.4833,-151.75,81.25,73,97,15.19,PF,1644699323
69,victoria,22.2855,114.1577,66.18,91,98,8.99,HK,1644699158
70,arraial do cabo,-22.9661,-42.0278,76.86,88,75,6.91,BR,1644699324
71,hithadhoo,-0.6,73.0833,81.09,70,100,12.26,MV,1644699324
72,puerto el triunfo,13.2833,-88.55,86.56,56,0,9.71,SV,1644699324
73,geraldton,-28.7667,114.6,66.61,82,2,10.36,AU,1644699252
74,umm lajj,25.0213,37.2685,67.93,25,0,21.97,SA,1644699324
75,tevaitoa,-16.7833,-151.5,81.3,74,92,14.79,PF,1644699325
76,cape town,-33.9258,18.4232,70.09,80,0,14.97,ZA,1644699325
77,san isidro,-12.1167,-77.05,78.51,75,0,9.22,PE,1644699325
78,banda aceh,5.5577,95.3222,77.34,85,26,11.36,ID,1644699326
79,jinka,5.65,36.65,73.22,38,33,1.48,ET,1644699326
80,ponta do sol,32.6667,-17.1,63.23,57,22,5.37,PT,1644699153
81,khatanga,71.9667,102.5,-19.35,89,48,3.8,RU,1644699326
82,andra,62.5147,65.8878,4.46,95,100,9.19,RU,1644699327
83,riverton,40.5219,-111.9391,52.45,38,0,9.22,US,1644699327
84,kodiak,57.79,-152.4072,36.54,81,96,7.34,US,1644699327
85,punta arenas,-53.15,-70.9167,57.31,44,40,31.07,CL,1644699328
86,vila velha,-20.3297,-40.2925,76.95,92,40,5.75,BR,1644699328
87,lakes entrance,-37.8811,147.981,59.16,75,1,7.2,AU,1644699328
88,gat,31.61,34.7642,57.4,100,0,4.18,IL,1644699328
89,yungay,-9.1383,-77.7436,60.73,83,100,5.97,PE,1644699329
90,enumclaw,47.2043,-121.9915,54.52,64,0,2.51,US,1644699349
91,bilibino,68.0546,166.4372,-27.02,99,100,1.14,RU,1644699151
92,chokurdakh,70.6333,147.9167,-2.11,95,100,13.29,RU,1644699389
93,mar del plata,-38.0023,-57.5575,66.22,68,40,18.41,AR,1644699389
94,lagoa,39.05,-27.9833,60.26,89,99,21.81,PT,1644699390
95,constitucion,-35.3333,-72.4167,70.48,54,1,5.28,CL,1644699390
96,shimoda,34.6667,138.95,41.11,72,97,0.74,JP,1644699390
97,laguna,38.421,-121.4238,80.01,45,0,1.99,US,1644699251
98,codrington,-38.2667,141.9667,73.63,43,89,12.75,AU,1644699391
99,leshukonskoye,64.8989,45.7622,10.63,98,94,5.7,RU,1644699391
100,atuona,-9.8,-139.0333,77.63,78,6,13.71,PF,1644699391
101,saldanha,-33.0117,17.9442,68.05,85,100,11.45,ZA,1644699391
102,jamestown,42.097,-79.2353,25.3,63,100,10.36,US,1644699392
103,byron bay,-28.65,153.6167,69.06,71,92,13.13,AU,1644699392
104,katsuura,35.1333,140.3,41.14,59,38,3.36,JP,1644699392
105,yerbogachen,61.2767,108.0108,-21.3,100,97,1.74,RU,1644699392
106,galveston,29.3669,-94.9669,56.97,77,80,18.99,US,1644699393
107,songea,-10.6833,35.65,63.66,98,100,1.52,TZ,1644699393
108,hasaki,35.7333,140.8333,27.0,61,47,3.8,JP,1644699393
109,oktyabrskoye,43.0645,44.7417,24.94,100,8,6.71,RU,1644699394
110,roald,62.5833,6.1333,42.94,75,75,6.91,NO,1644699118
111,georgetown,5.4112,100.3354,79.95,86,20,4.61,MY,1644699394
112,qaanaaq,77.484,-69.3632,-20.29,47,0,8.52,GL,1644699394
113,dikson,73.5069,80.5464,-3.75,78,100,27.29,RU,1644699394
114,twentynine palms,34.1356,-116.0542,80.46,8,24,1.99,US,1644699395
115,anadyr,64.75,177.4833,-26.9,75,0,13.42,RU,1644699395
116,kholodnyy,62.7167,147.95,-39.98,100,93,1.16,RU,1644699395
117,inzer,54.2167,57.5556,13.3,98,99,2.8,RU,1644699396
118,amudat,1.95,34.95,75.25,37,96,5.19,UG,1644699396
119,kirkland lake,48.1446,-80.0377,-5.51,59,100,7.47,CA,1644699101
120,mocuba,-16.8392,36.9856,71.87,97,93,1.36,MZ,1644699396
121,liverpool,53.4106,-2.9779,49.71,89,40,16.11,GB,1644699397
122,westerland,54.9079,8.3033,39.92,70,20,25.32,DE,1644699397
123,safranbolu,41.2508,32.6942,32.43,91,98,2.28,TR,1644699397
124,napier,-39.4833,176.9167,72.25,95,100,1.99,NZ,1644699171
125,ruteng,-8.6136,120.4721,61.81,89,99,0.43,ID,1644699398
126,vila franca do campo,37.7167,-25.4333,62.2,86,100,10.45,PT,1644699398
127,viedma,-40.8135,-62.9967,82.85,15,100,6.11,AR,1644699398
128,hudson bay,52.85,-102.3842,3.16,76,68,1.16,CA,1644699398
129,bembereke,10.2283,2.6634,78.89,12,68,4.54,BJ,1644699399
130,narva-joesuu,59.4589,28.0408,33.04,93,100,16.75,EE,1644699399
131,provideniya,64.3833,-173.3,-9.72,81,11,5.12,RU,1644699399
132,vegachi,6.7614,-74.7947,81.05,53,9,5.21,CO,1644699399
133,dunedin,-45.8742,170.5036,50.81,73,100,8.99,NZ,1644699400
134,margate,51.3813,1.3862,45.3,65,100,8.99,GB,1644699295
135,aldan,58.6031,125.3894,-29.9,98,90,3.4,RU,1644699400
136,port elizabeth,-33.918,25.5701,71.89,94,100,20.71,ZA,1644699400
137,halifax,44.6453,-63.5724,51.69,81,19,24.16,CA,1644699186
138,ancud,-41.8697,-73.8203,72.93,65,71,5.14,CL,1644699461
139,hambantota,6.1241,81.1185,76.14,85,80,9.55,LK,1644699461
140,tocopilla,-22.092,-70.1979,72.84,67,21,11.52,CL,1644699461
141,puerto madryn,-42.7692,-65.0385,77.05,27,66,11.79,AR,1644699462
142,akyab,20.15,92.9,61.05,58,100,10.36,MM,1644699462
143,mayskiy,47.6931,40.1025,35.44,86,100,15.88,RU,1644699462
144,opuwo,-18.0607,13.84,65.88,80,100,9.71,NA,1644699462
145,yumen,40.2833,97.2,23.43,53,100,7.58,CN,1644699463
146,port alfred,-33.5906,26.891,75.31,93,4,11.25,ZA,1644699463
147,cidreira,-30.1811,-50.2056,76.41,75,13,19.1,BR,1644699463
148,tommot,58.9564,126.2925,-33.5,100,79,1.32,RU,1644699464
149,rawson,-43.3002,-65.1023,81.12,25,93,8.68,AR,1644699464
150,tiznit,29.5833,-9.5,57.11,55,1,2.21,MA,1644699464
151,honningsvag,70.9821,25.9704,29.75,64,100,24.52,NO,1644699464
152,butaritari,3.0707,172.7902,82.94,68,98,15.52,KI,1644699465
153,avarua,-21.2078,-159.775,82.45,74,100,4.61,CK,1644699465
154,sur,22.5667,59.5289,69.01,63,0,10.29,OM,1644699252
155,touros,-5.1989,-35.4608,86.9,77,30,8.84,BR,1644699191
156,bubaque,11.2833,-15.8333,78.87,68,0,11.07,GW,1644699465
157,mbanza-ngungu,-5.25,14.8667,70.97,77,95,1.72,CD,1644699466
158,ust-tsilma,65.441,52.1498,12.67,96,97,5.79,RU,1644699466
159,cortez,37.3489,-108.5859,48.42,15,7,6.22,US,1644699466
160,broome,42.2506,-75.833,37.69,67,61,7.0,US,1644699467
161,dauphin,51.1494,-100.0502,-0.26,60,0,9.22,CA,1644699467
162,kashary,49.04,41.0056,27.28,94,85,12.44,RU,1644699467
163,saint-augustin,51.226,-58.6502,33.06,98,100,17.87,CA,1644699468
164,kaminoyama,38.1539,140.2736,32.67,95,96,2.13,JP,1644699468
165,evensk,61.95,159.2333,-12.55,75,21,6.96,RU,1644699468
166,hercegszanto,45.95,18.9392,36.84,67,3,7.11,HU,1644699468
167,grindavik,63.8424,-22.4338,23.47,68,0,3.44,IS,1644699469
168,airai,-8.9266,125.4092,58.55,92,82,2.28,TL,1644699469
169,bambous virieux,-20.3428,57.7575,80.85,83,40,9.22,MU,1644699307
170,derzhavinsk,51.1,66.3167,26.58,96,100,20.07,KZ,1644699469
171,fort nelson,58.8053,-122.7002,11.79,79,75,0.0,CA,1644699470
172,poum,-20.2333,164.0167,81.16,74,100,4.09,NC,1644699470
173,oromocto,45.8351,-66.4792,46.33,71,100,10.36,CA,1644699346
174,portland,45.5234,-122.6762,64.62,32,0,18.41,US,1644698934
175,tuktoyaktuk,69.4541,-133.0374,-27.4,68,40,6.91,CA,1644699470
176,guerrero negro,27.9769,-114.0611,75.49,27,100,4.27,MX,1644699471
177,husavik,66.0449,-17.3389,22.91,86,95,7.54,IS,1644699434
178,foumban,5.7291,10.9001,70.25,20,46,3.67,CM,1644699471
179,petropavlovsk-kamchatskiy,53.0452,158.6483,-1.23,78,75,4.47,RU,1644699471
180,marsa matruh,31.3525,27.2453,55.6,67,20,5.75,EG,1644699472
181,itarema,-2.9248,-39.9167,80.28,76,97,10.31,BR,1644699532
182,black diamond,47.3087,-122.0032,54.97,63,1,1.99,US,1644699532
183,cap malheureux,-19.9842,57.6142,81.09,81,8,3.0,MU,1644699532
184,berlevag,70.8578,29.0864,24.26,77,63,21.97,NO,1644699533
185,araouane,18.9048,-3.5265,65.28,15,0,9.57,ML,1644699533
186,port hedland,-20.3167,118.5667,84.25,89,44,8.05,AU,1644699327
187,obera,-27.4871,-55.1199,86.34,40,66,3.67,AR,1644699533
188,chilca,-12.5211,-76.7372,79.09,77,99,6.53,PE,1644699534
189,pacaembu,-21.5622,-51.2606,82.67,63,5,7.67,BR,1644699534
